title,genres,actor1,actor2,actor3,director,comb
pirates of the caribbean: dead men tell no tales,Adventure,Johnny Depp,Javier Bardem,Geoffrey Rush,Joachim Rønning Espen Sandberg,Johnny Depp Javier Bardem Geoffrey Rush Joachim Rønning Espen Sandberg Adventure
justice league,Action,Ben Affleck,Henry Cavill,Gal Gadot,Zack Snyder,Ben Affleck Henry Cavill Gal Gadot Zack Snyder Action
thor: ragnarok,Action,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Taika Waititi,Chris Hemsworth Tom Hiddleston Cate Blanchett Taika Waititi Action
guardians of the galaxy vol. 2,Action,Chris Pratt,Zoe Saldana,Dave Bautista,James Gunn,Chris Pratt Zoe Saldana Dave Bautista James Gunn Action
the king's daughter,Fantasy,Pierce Brosnan,William Hurt,Benjamin Walker,Sean McNamara,Pierce Brosnan William Hurt Benjamin Walker Sean McNamara Fantasy
extinction jurassic predators 2017,Thriller,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,Adam Spinks,Ben Loyd-Holmes Sarah Mac Neil Newbon Adam Spinks Thriller
for here or to go?,Drama,Ali Fazal,Melanie Chandra,Omi Vaidya,Rucha Humnabadkar,Ali Fazal Melanie Chandra Omi Vaidya Rucha Humnabadkar Drama
the outcasts,Comedy,Victoria Justice,Eden Sher,Ashley Rickards,Peter Hutchings,Victoria Justice Eden Sher Ashley Rickards Peter Hutchings Comedy
sly cooper,Animation,Chris Murphy,Ian James Corlett,Matt Olsen,Kevin Munroe,Chris Murphy Ian James Corlett Matt Olsen Kevin Munroe Animation
the circle,Drama,Emma Watson,Tom Hanks,John Boyega,James Ponsoldt,Emma Watson Tom Hanks John Boyega James Ponsoldt Drama
pitch perfect 3,Comedy,Anna Kendrick,Rebel Wilson,Brittany Snow,Trish Sie,Anna Kendrick Rebel Wilson Brittany Snow Trish Sie Comedy
the devil's candy,Horror,Ethan Embry,Shiri Appleby,Kiara Glasco,Sean Byrne,Ethan Embry Shiri Appleby Kiara Glasco Sean Byrne Horror
"return to return to nuke 'em high, aka volume 2",Comedy,Asta Paredes,Catherine Corcoran,Zac Amino,Lloyd Kaufman,Asta Paredes Catherine Corcoran Zac Amino Lloyd Kaufman Comedy
the cheerleader murders,TV Movie,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,David Jackson,Amanda Leighton Samantha Boscarino Hannah Kasulka David Jackson TV Movie
dean,Comedy,Demetri Martin,Gillian Jacobs,Christine Woods,Demetri Martin,Demetri Martin Gillian Jacobs Christine Woods Demetri Martin Comedy
leatherface,Horror,Stephen Dorff,Lili Taylor,Sam Strike,Alexandre Bustillo Julien Maury,Stephen Dorff Lili Taylor Sam Strike Alexandre Bustillo Julien Maury Horror
47 meters down,Drama,Claire Holt,Mandy Moore,Chris Johnson,Johannes Roberts,Claire Holt Mandy Moore Chris Johnson Johannes Roberts Drama
porto,Romance,Lucie Lucas,Anton Yelchin,Paulo Calatré,Gabe Klinger,Lucie Lucas Anton Yelchin Paulo Calatré Gabe Klinger Romance
mamaboy,Comedy,Sean O'Donnell,Alexandria DeBerry,Gary Busey,Aaron Leong,Sean O'Donnell Alexandria DeBerry Gary Busey Aaron Leong Comedy
david lynch: the art life,Documentary,,,,Olivia Neergaard-Holm Jon Nguyen Rick Barnes,   Olivia Neergaard-Holm Jon Nguyen Rick Barnes Documentary
the promise,History,Oscar Isaac,Charlotte Le Bon,Christian Bale,Terry George,Oscar Isaac Charlotte Le Bon Christian Bale Terry George History
all eyez on me,Drama,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,Benny Boom,Demetrius Shipp Jr. Danai Gurira Kat Graham Benny Boom Drama
colossal,Action,Anne Hathaway,Jason Sudeikis,Tim Blake Nelson,Nacho Vigalondo,Anne Hathaway Jason Sudeikis Tim Blake Nelson Nacho Vigalondo Action
voyage of time: life's journey,Documentary,,,,Terrence Malick,   Terrence Malick Documentary
london town,Drama,Jonathan Rhys Meyers,Daniel Huttlestone,Dougray Scott,Derrick Borte,Jonathan Rhys Meyers Daniel Huttlestone Dougray Scott Derrick Borte Drama
brimstone,Mystery,Guy Pearce,Dakota Fanning,Carice van Houten,Martin Koolhoven,Guy Pearce Dakota Fanning Carice van Houten Martin Koolhoven Mystery
the white king,Drama,Agyness Deyn,Jonathan Pryce,Fiona Shaw,Alex Helfrecht Jörg Tittel,Agyness Deyn Jonathan Pryce Fiona Shaw Alex Helfrecht Jörg Tittel Drama
risk,Documentary,Julian Assange,Sarah Harrison,Jacob Appelbaum,Laura Poitras,Julian Assange Sarah Harrison Jacob Appelbaum Laura Poitras Documentary
kiki,Documentary,,,,Sara Jordenö,   Sara Jordenö Documentary
shangri-la suite,Romance,Emily Browning,Luke Grimes,Ron Livingston,Eddie O'Keefe,Emily Browning Luke Grimes Ron Livingston Eddie O'Keefe Romance
the space between us,Romance,Asa Butterfield,Britt Robertson,Carla Gugino,Peter Chelsom,Asa Butterfield Britt Robertson Carla Gugino Peter Chelsom Romance
national bird,Documentary,,,,Sonia Kennebeck,   Sonia Kennebeck Documentary
i am not your negro,Documentary,Samuel L. Jackson,James Baldwin,Malcolm X,Raoul Peck,Samuel L. Jackson James Baldwin Malcolm X Raoul Peck Documentary
a dog's purpose,Comedy,Dennis Quaid,Britt Robertson,Josh Gad,Lasse Hallström,Dennis Quaid Britt Robertson Josh Gad Lasse Hallström Comedy
manifesto,Drama,Cate Blanchett,Erika Bauer,Ruby Bustamante,Julian Rosefeldt,Cate Blanchett Erika Bauer Ruby Bustamante Julian Rosefeldt Drama
the little hours,Comedy,Alison Brie,Dave Franco,Aubrey Plaza,Jeff Baena,Alison Brie Dave Franco Aubrey Plaza Jeff Baena Comedy
fist fight,Comedy,Charlie Day,Ice Cube,Tracy Morgan,Richie Keen,Charlie Day Ice Cube Tracy Morgan Richie Keen Comedy
sleepless,Action,Jamie Foxx,Michelle Monaghan,Dermot Mulroney,Baran bo Odar,Jamie Foxx Michelle Monaghan Dermot Mulroney Baran bo Odar Action
a cure for wellness,Mystery,Dane DeHaan,Jason Isaacs,Mia Goth,Gore Verbinski,Dane DeHaan Jason Isaacs Mia Goth Gore Verbinski Mystery
xxx: return of xander cage,Action,Vin Diesel,Ice Cube,Samuel L. Jackson,D.J. Caruso,Vin Diesel Ice Cube Samuel L. Jackson D.J. Caruso Action
the bye bye man,Horror,Douglas Smith,Lucien Laviscount,Cressida Bonas,Stacy Title,Douglas Smith Lucien Laviscount Cressida Bonas Stacy Title Horror
prevenge,Horror,Alice Lowe,Jo Hartley,Kate Dickie,Alice Lowe,Alice Lowe Jo Hartley Kate Dickie Alice Lowe Horror
the lego batman movie,Action,Will Arnett,Zach Galifianakis,Michael Cera,Chris McKay,Will Arnett Zach Galifianakis Michael Cera Chris McKay Action
