title,genres,director,actor1,actor2,actor3,comb
insidious: the last key,Horror Mystery Thriller,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel Horror Mystery Thriller
the strange ones,Thriller Drama,Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Alex Pettyfer James Freedson-Jackson Emily Althaus Lauren Wolkstein Thriller Drama
stratton,Action Thriller,Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Dominic Cooper Austin Stowell Gemma Chan Simon West Action Thriller
sweet country,Drama History Western,Warwick Thornton,Bryan Brown,Sam Neill,,Bryan Brown Sam Neill  Warwick Thornton Drama History Western
the commuter,Action Thriller,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Liam Neeson Vera Farmiga Patrick Wilson Jaume Collet-Serra Action Thriller
proud mary,Thriller Action Crime,Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Taraji P. Henson Billy Brown Danny Glover Babak Najafi Thriller Action Crime
acts of violence,Action,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho Action
freak show,Comedy Drama,Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Alex Lawther Abigail Breslin Bette Midler Trudie Styler Comedy Drama
humor me,Comedy,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman Comedy
vazante,Drama,Daniela Thomas,Beto Amaral (screenplay); Adriano Carvalho,Luana Nastas,,Beto Amaral (screenplay); Adriano Carvalho Luana Nastas  Daniela Thomas Drama
mary and the witch's flower,Fantasy Adventure Animation,Hiromasa Yonebayashi,Riko Sakaguchi (screenplay); Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Riko Sakaguchi (screenplay); Ruby Barnhill Louis Ashbourne Serkis Kate Winslet Hiromasa Yonebayashi Fantasy Adventure Animation
12 strong,War Drama Action History,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,Chris Hemsworth Michael Shannon Michael Peña Nicolai Fuglsig War Drama Action History
den of thieves,Action Thriller Crime,Christian Gudegast,Paul Scheuring (screenplay); Gerard Butler,50 Cent,Pablo Schreiber,Paul Scheuring (screenplay); Gerard Butler 50 Cent Pablo Schreiber Christian Gudegast Action Thriller Crime
forever my girl,Romance Drama Music,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf Romance Drama Music
maze runner: the death cure,Science Fiction Action,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball Science Fiction Action
the insult,Comedy Crime,Ziad Doueiri,Joelle Touma (screenplay); Adel Karam,Camille Salameh,Kamel El Basha,Joelle Touma (screenplay); Adel Karam Camille Salameh Kamel El Basha Ziad Doueiri Comedy Crime
please stand by,Comedy Drama,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Dakota Fanning Toni Collette Alice Eve Ben Lewin Comedy Drama
winchester,Thriller Horror,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers Thriller Horror
a fantastic woman,Drama,Sebastián Lelio,Gonzalo Maza (screenplay); Daniela Vega,Francisco Reyes,,Gonzalo Maza (screenplay); Daniela Vega Francisco Reyes  Sebastián Lelio Drama
armed,Action Horror Thriller,Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Mario Van Peebles William Fichtner Ryan Guzman Mario Van Peebles Action Horror Thriller
the cloverfield paradox,Action Science Fiction Thriller Horror,Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Daniel Brühl Elizabeth Debicki Aksel Hennie Julius Onah Action Science Fiction Thriller Horror
bad apples,Horror,Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Brea Grant Graham Skipper Aly Fitzgerald Bryan Coyne Horror
peter rabbit,Animation Adventure Family,Will Gluck,Rob Lieber (screenplay); James Corden,Domhnall Gleeson,Rose Byrne,Rob Lieber (screenplay); James Corden Domhnall Gleeson Rose Byrne Will Gluck Animation Adventure Family
fifty shades freed,Drama Romance,James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Dakota Johnson Jamie Dornan Kim Basinger James Foley Drama Romance
the 15:17 to paris,History Drama Thriller,Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Anthony Sadler Alek Skarlatos Spencer Stone Clint Eastwood History Drama Thriller
la boda de valentina,Comedy,Marco Polo Constandse,,Marimar Vega,Ryan Carnes, Marimar Vega Ryan Carnes Marco Polo Constandse Comedy
kri,,Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,Anmol K.C. Aditi Budhathoki Anoop Bikram Shahi Surendra Poudel 
permission,Comedy Romance Drama,Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Rebecca Hall Dan Stevens Morgan Spector Brian Crano Comedy Romance Drama
monster family,,Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,Emily Watson Jason Isaacs Nick Frost Holger Tappe 
golden exits,Drama,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Emily Browning Adam Horowitz Mary-Louise Parker Alex Ross Perry Drama
