title,genres,director,actor1,actor2,actor3,comb
the grudge,Horror Mystery Thriller,Nicolas Pesce,Andrea Riseborough,Demián Bichir,John Cho,Andrea Riseborough Demián Bichir John Cho Nicolas Pesce Horror Mystery Thriller
underwater,Action Horror Science Fiction Thriller,William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Kristen Stewart Vincent Cassel Jessica Henwick William Eubank Action Horror Science Fiction Thriller
like a boss,Comedy,Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,Tiffany Haddish Rose Byrne Salma Hayek Miguel Arteta Comedy
three christs,Drama,Jon Avnet,Eric Nazarian (screenplay); Richard Gere,Peter Dinklage,Walton Goggins,Eric Nazarian (screenplay); Richard Gere Peter Dinklage Walton Goggins Jon Avnet Drama
inherit the viper,Drama Thriller Crime,Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,Josh Hartnett Margarita Levieva Chandler Riggs Anthony Jerjen Drama Thriller Crime
the sonata,Horror Thriller Mystery,Andrew Desmond,Arthur Morin (screenplay); Freya Tingley,Simon Abkarian,Rutger Hauer,Arthur Morin (screenplay); Freya Tingley Simon Abkarian Rutger Hauer Andrew Desmond Horror Thriller Mystery
the murder of nicole brown simpson,Thriller Drama Crime,Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,Mena Suvari Nick Stahl Taryn Manning Daniel Farrands Thriller Drama Crime
bad boys for life,Thriller Action Crime,Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Will Smith Martin Lawrence Vanessa Hudgens Adil El Arbi and Bilall Fallah Thriller Action Crime
dolittle,Family Fantasy Adventure,Stephen Gaghan,Dan Gregor,Antonio Banderas,Michael Sheen,Dan Gregor Antonio Banderas Michael Sheen Stephen Gaghan Family Fantasy Adventure
a fall from grace,Thriller,Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,Crystal R. Fox Phylicia Rashad Bresha Webb Tyler Perry Thriller
the gentlemen,Action Crime Comedy,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Matthew McConaughey Charlie Hunnam Henry Golding Guy Ritchie Action Crime Comedy
the turning,Horror Thriller,Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Mackenzie Davis Finn Wolfhard Brooklynn Prince Floria Sigismondi Horror Thriller
the last full measure,War Drama,Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,Sebastian Stan Christopher Plummer William Hurt Todd Robinson War Drama
the night house,Horror Thriller,David Bruckner,Rebecca Hall,Sarah Goldberg,Stacy Martin,Rebecca Hall Sarah Goldberg Stacy Martin David Bruckner Horror Thriller
john henry,Drama Thriller,Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,Terry Crews Ludacris Jamila Velazquez Will Forbes Drama Thriller
the rhythm section,Action Thriller,Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Blake Lively Jude Law Sterling K. Brown Reed Morano Action Thriller
gretel & hansel,Horror Fantasy Thriller,Oz Perkins,Rob Hayes (screenplay); Sophia Lillis,Sammy Leakey,Charles Babalola,Rob Hayes (screenplay); Sophia Lillis Sammy Leakey Charles Babalola Oz Perkins Horror Fantasy Thriller
the assistant,Drama,Kitty Green,Julia Garner,Matthew Macfadyen,,Julia Garner Matthew Macfadyen  Kitty Green Drama
birds of prey,Action Crime,Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Margot Robbie Mary Elizabeth Winstead Jurnee Smollett-Bell Cathy Yan Action Crime
the lodge,Drama Horror Thriller,"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",Sergio Casci (screenplay); Riley Keough,Jaeden Martell,Lia McHugh,"Sergio Casci (screenplay); Riley Keough Jaeden Martell Lia McHugh Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone Drama Horror Thriller"
